textid	target	model	tokenizer	predicted	prob	condition
ex20	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6200629472732544	lexical_overlap
ex21	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6502304077148438	lexical_overlap
ex22	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.8540632724761963	lexical_overlap
ex23	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6371311545372009	lexical_overlap
ex24	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6766083836555481	lexical_overlap
ex25	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6573774218559265	lexical_overlap
ex26	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6146188378334045	lexical_overlap
ex27	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5780187249183655	lexical_overlap
ex28	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.4015308022499084	lexical_overlap
ex29	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5057656168937683	lexical_overlap
ex30	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5396075248718262	lexical_overlap
ex31	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5699594020843506	lexical_overlap
ex32	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.506855845451355	lexical_overlap
ex33	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7241578102111816	lexical_overlap
ex34	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6316726207733154	lexical_overlap
ex35	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5658829212188721	lexical_overlap
ex36	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7310203909873962	lexical_overlap
ex37	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6537564396858215	lexical_overlap
ex38	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5148422718048096	lexical_overlap
ex39	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.4749282300472259	lexical_overlap
ex40	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.8081039786338806	lexical_overlap
ex41	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6737368106842041	lexical_overlap
ex42	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5765488743782043	lexical_overlap
ex43	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.715422511100769	lexical_overlap
ex44	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6938108801841736	lexical_overlap
ex45	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6217980980873108	lexical_overlap
ex46	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.4850147664546966	lexical_overlap
ex47	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5531113743782043	lexical_overlap
ex48	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.4212764799594879	lexical_overlap
ex49	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6907318234443665	lexical_overlap
ex50	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5253518223762512	lexical_overlap
ex51	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5751146078109741	lexical_overlap
ex52	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5701850652694702	lexical_overlap
ex53	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.8623760938644409	lexical_overlap
ex54	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.8731629252433777	lexical_overlap
ex55	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.4673657715320587	lexical_overlap
ex56	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5895241498947144	lexical_overlap
ex57	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.8710772395133972	lexical_overlap
ex58	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6061798334121704	lexical_overlap
ex59	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6557896137237549	lexical_overlap
ex60	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.3981060683727264	lexical_overlap
ex61	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.8787763118743896	lexical_overlap
ex62	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.9182797074317932	lexical_overlap
ex63	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5829227566719055	lexical_overlap
ex64	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5602662563323975	lexical_overlap
ex65	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7100324034690857	lexical_overlap
ex66	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6829642057418823	lexical_overlap
ex67	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7379884123802185	lexical_overlap
ex68	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5235631465911865	lexical_overlap
ex69	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.8299500346183777	lexical_overlap
ex70	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.559952437877655	lexical_overlap
ex71	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6400322318077087	lexical_overlap
ex72	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5606882572174072	lexical_overlap
ex73	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.8269443511962891	lexical_overlap
ex74	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6479616165161133	lexical_overlap
ex75	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.553043782711029	lexical_overlap
ex76	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5879462957382202	lexical_overlap
ex77	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5602691769599915	lexical_overlap
ex78	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.8580105900764465	lexical_overlap
ex79	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.9505141973495485	lexical_overlap
ex80	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5377728939056396	lexical_overlap
ex81	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6575178503990173	lexical_overlap
ex82	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5919498205184937	lexical_overlap
ex83	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7115440368652344	lexical_overlap
ex84	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7459578514099121	lexical_overlap
ex85	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5531545877456665	lexical_overlap
ex86	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6515388488769531	lexical_overlap
ex87	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5027251839637756	lexical_overlap
ex88	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.8177360892295837	lexical_overlap
ex89	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5385378003120422	lexical_overlap
ex90	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.4770642817020416	lexical_overlap
ex91	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.599958062171936	lexical_overlap
ex92	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.4639352262020111	lexical_overlap
ex93	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6643978953361511	lexical_overlap
ex94	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6517910361289978	lexical_overlap
ex95	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5867728590965271	lexical_overlap
ex96	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.532943844795227	lexical_overlap
ex97	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.763466477394104	lexical_overlap
ex98	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6677234768867493	lexical_overlap
ex99	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.699998140335083	lexical_overlap
ex100	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7456220984458923	lexical_overlap
ex101	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5767025351524353	lexical_overlap
ex102	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.8407106399536133	lexical_overlap
ex103	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_1	0.446865051984787	lexical_overlap
ex104	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5764698386192322	lexical_overlap
ex105	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6452856063842773	lexical_overlap
ex106	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5813161730766296	lexical_overlap
ex107	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.4937172830104828	lexical_overlap
ex108	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6566372513771057	lexical_overlap
ex109	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6709280014038086	lexical_overlap
ex110	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6900559067726135	lexical_overlap
ex111	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.9004703760147095	lexical_overlap
ex112	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.8285229802131653	lexical_overlap
ex113	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6950408816337585	lexical_overlap
ex114	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.905365824699402	lexical_overlap
ex115	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.7108401656150818	lexical_overlap
ex116	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.4678292870521545	lexical_overlap
ex117	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6759214401245117	lexical_overlap
ex118	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7596051692962646	lexical_overlap
ex119	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5262717008590698	lexical_overlap
ex120	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5166735649108887	lexical_overlap
ex121	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6145018935203552	lexical_overlap
ex122	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5582726001739502	lexical_overlap
ex123	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.860844075679779	lexical_overlap
ex124	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5366438627243042	lexical_overlap
ex125	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.4612748622894287	lexical_overlap
ex126	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.4845097959041595	lexical_overlap
ex127	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5580596923828125	lexical_overlap
ex128	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7037068009376526	lexical_overlap
ex129	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6133513450622559	lexical_overlap
ex130	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6646994352340698	lexical_overlap
ex131	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6290330290794373	lexical_overlap
ex132	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5290495753288269	lexical_overlap
ex133	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6984979510307312	lexical_overlap
ex134	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.779460608959198	lexical_overlap
ex135	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6959322094917297	lexical_overlap
ex136	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.616258978843689	lexical_overlap
ex137	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.8097050786018372	lexical_overlap
ex138	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7287335395812988	lexical_overlap
ex139	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6676725149154663	lexical_overlap
ex140	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.8052880167961121	lexical_overlap
ex141	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.704378604888916	lexical_overlap
ex142	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5254805684089661	lexical_overlap
ex143	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5931180119514465	lexical_overlap
ex144	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.661949872970581	lexical_overlap
ex145	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6152875423431396	lexical_overlap
ex146	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.4854491353034973	lexical_overlap
ex147	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5579164624214172	lexical_overlap
ex148	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5569549202919006	lexical_overlap
ex149	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.4525053203105926	lexical_overlap
ex150	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6378518342971802	lexical_overlap
ex151	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5725088715553284	lexical_overlap
ex152	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6348550319671631	lexical_overlap
ex153	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6180621981620789	lexical_overlap
ex154	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.4932418167591095	lexical_overlap
ex155	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7169135808944702	lexical_overlap
ex156	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.590345561504364	lexical_overlap
ex157	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5311811566352844	lexical_overlap
ex158	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6473070383071899	lexical_overlap
ex159	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.4675652980804443	lexical_overlap
ex160	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.8571683764457703	lexical_overlap
ex161	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7093217968940735	lexical_overlap
ex162	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.783905565738678	lexical_overlap
ex163	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.390712708234787	lexical_overlap
ex164	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5584746599197388	lexical_overlap
ex165	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5451933145523071	lexical_overlap
ex166	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7984224557876587	lexical_overlap
ex167	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5310728549957275	lexical_overlap
ex168	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5517402291297913	lexical_overlap
ex169	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5900477170944214	lexical_overlap
ex170	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5436422824859619	lexical_overlap
ex171	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7264829874038696	lexical_overlap
ex172	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6002458333969116	lexical_overlap
ex173	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5897864699363708	lexical_overlap
ex174	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5898047089576721	lexical_overlap
ex175	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.8066741824150085	lexical_overlap
ex176	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5555426478385925	lexical_overlap
ex177	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6963099837303162	lexical_overlap
ex178	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.7825545072555542	lexical_overlap
ex179	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7525270581245422	lexical_overlap
ex180	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7270439863204956	lexical_overlap
ex181	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5505008697509766	lexical_overlap
ex182	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7389748692512512	lexical_overlap
ex183	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6648311614990234	lexical_overlap
ex184	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.7881166338920593	lexical_overlap
ex185	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6005594730377197	lexical_overlap
ex186	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7265418767929077	lexical_overlap
ex187	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5305290222167969	lexical_overlap
ex188	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.817949652671814	lexical_overlap
ex189	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6851391196250916	lexical_overlap
ex190	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6862662434577942	lexical_overlap
ex191	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6499136686325073	lexical_overlap
ex192	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5687384605407715	lexical_overlap
ex193	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.4998972415924072	lexical_overlap
ex194	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.8689872026443481	lexical_overlap
ex195	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6990153193473816	lexical_overlap
ex196	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.562381386756897	lexical_overlap
ex197	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.4538039267063141	lexical_overlap
ex198	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.4430180191993713	lexical_overlap
ex199	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5515114665031433	lexical_overlap
ex200	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5045731067657471	lexical_overlap
ex201	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.4898743033409118	lexical_overlap
ex202	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6553060412406921	lexical_overlap
ex203	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7015026211738586	lexical_overlap
ex204	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.7513760924339294	lexical_overlap
ex205	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.4142874479293823	lexical_overlap
ex206	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.4804847240447998	lexical_overlap
ex207	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7168214917182922	lexical_overlap
ex208	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.8435015678405762	lexical_overlap
ex209	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.8758518695831299	lexical_overlap
ex210	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.4496529996395111	lexical_overlap
ex211	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7260690927505493	lexical_overlap
ex212	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.9015888571739196	lexical_overlap
ex213	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6464367508888245	lexical_overlap
ex214	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7055873870849609	lexical_overlap
ex215	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6603580713272095	lexical_overlap
ex216	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.4584236443042755	lexical_overlap
ex217	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6268348097801208	lexical_overlap
ex218	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5291651487350464	lexical_overlap
ex219	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.708791196346283	lexical_overlap
ex220	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.76976078748703	lexical_overlap
ex221	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5495593547821045	lexical_overlap
ex222	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5312954187393188	lexical_overlap
ex223	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6950318813323975	lexical_overlap
ex224	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7233452796936035	lexical_overlap
ex225	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5209832787513733	lexical_overlap
ex226	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6484909653663635	lexical_overlap
ex227	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7735041379928589	lexical_overlap
ex228	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.6897439956665039	lexical_overlap
ex229	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.8997662663459778	lexical_overlap
ex230	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.5592690110206604	lexical_overlap
ex231	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5091052651405334	lexical_overlap
